,lineId,season,name,team,position,situation,games_played,icetime,iceTimeRank,xGoalsPercentage,corsiPercentage,fenwickPercentage,xOnGoalFor,xGoalsFor,xReboundsFor,xFreezeFor,xPlayStoppedFor,xPlayContinuedInZoneFor,xPlayContinuedOutsideZoneFor,flurryAdjustedxGoalsFor,scoreVenueAdjustedxGoalsFor,flurryScoreVenueAdjustedxGoalsFor,shotsOnGoalFor,missedShotsFor,blockedShotAttemptsFor,shotAttemptsFor,goalsFor,reboundsFor,reboundGoalsFor,freezeFor,playStoppedFor,playContinuedInZoneFor,playContinuedOutsideZoneFor,savedShotsOnGoalFor,savedUnblockedShotAttemptsFor,penaltiesFor,penalityMinutesFor,faceOffsWonFor,hitsFor,takeawaysFor,giveawaysFor,lowDangerShotsFor,mediumDangerShotsFor,highDangerShotsFor,lowDangerxGoalsFor,mediumDangerxGoalsFor,highDangerxGoalsFor,lowDangerGoalsFor,mediumDangerGoalsFor,highDangerGoalsFor,scoreAdjustedShotsAttemptsFor,unblockedShotAttemptsFor,scoreAdjustedUnblockedShotAttemptsFor,dZoneGiveawaysFor,xGoalsFromxReboundsOfShotsFor,xGoalsFromActualReboundsOfShotsFor,reboundxGoalsFor,totalShotCreditFor,scoreAdjustedTotalShotCreditFor,scoreFlurryAdjustedTotalShotCreditFor,xOnGoalAgainst,xGoalsAgainst,xReboundsAgainst,xFreezeAgainst,xPlayStoppedAgainst,xPlayContinuedInZoneAgainst,xPlayContinuedOutsideZoneAgainst,flurryAdjustedxGoalsAgainst,scoreVenueAdjustedxGoalsAgainst,flurryScoreVenueAdjustedxGoalsAgainst,shotsOnGoalAgainst,missedShotsAgainst,blockedShotAttemptsAgainst,shotAttemptsAgainst,goalsAgainst,reboundsAgainst,reboundGoalsAgainst,freezeAgainst,playStoppedAgainst,playContinuedInZoneAgainst,playContinuedOutsideZoneAgainst,savedShotsOnGoalAgainst,savedUnblockedShotAttemptsAgainst,penaltiesAgainst,penalityMinutesAgainst,faceOffsWonAgainst,hitsAgainst,takeawaysAgainst,giveawaysAgainst,lowDangerShotsAgainst,mediumDangerShotsAgainst,highDangerShotsAgainst,lowDangerxGoalsAgainst,mediumDangerxGoalsAgainst,highDangerxGoalsAgainst,lowDangerGoalsAgainst,mediumDangerGoalsAgainst,highDangerGoalsAgainst,scoreAdjustedShotsAttemptsAgainst,unblockedShotAttemptsAgainst,scoreAdjustedUnblockedShotAttemptsAgainst,dZoneGiveawaysAgainst,xGoalsFromxReboundsOfShotsAgainst,xGoalsFromActualReboundsOfShotsAgainst,reboundxGoalsAgainst,totalShotCreditAgainst,scoreAdjustedTotalShotCreditAgainst,scoreFlurryAdjustedTotalShotCreditAgainst
8793,84793238479333,2022,Hajek-Fox,NYR,pairing,5on5,12,1450.0,82.0,0.79,0.6,0.66,17.2,2.16,1.31,4.0,0.61,9.67,7.25,2.11,2.12,2.07,19.0,6.0,6.0,31.0,1.0,2.0,0.0,3.0,2.0,9.0,8.0,18.0,24.0,2.0,4.0,9.0,15.0,4.0,3.0,18.0,4.0,3.0,0.72,0.59,0.84,0.0,0.0,1.0,30.47,25.0,24.65,1.0,0.28,0.45,0.45,1.98,1.95,1.93,8.81,0.56,0.48,2.09,0.31,5.38,4.18,0.56,0.58,0.58,9.0,4.0,8.0,21.0,0.0,0.0,0.0,1.0,0.0,4.0,8.0,9.0,13.0,4.0,8.0,10.0,9.0,1.0,5.0,10.0,3.0,0.0,0.24,0.32,0.0,0.0,0.0,0.0,21.11,13.0,13.28,5.0,0.1,0.0,0.0,0.66,0.68,0.68
10205,84793248480817,2022,Lindgren-Miller,NYR,pairing,5on5,36,1990.0,270.0,0.37,0.47,0.49,17.11,0.92,0.87,3.94,0.51,8.17,7.61,0.91,0.92,0.91,17.0,5.0,3.0,25.0,1.0,0.0,0.0,3.0,0.0,9.0,9.0,16.0,21.0,4.0,8.0,4.0,13.0,2.0,4.0,18.0,4.0,0.0,0.44,0.48,0.0,1.0,0.0,0.0,25.07,22.0,22.06,3.0,0.18,0.0,0.0,1.09,1.09,1.08,16.66,1.57,1.16,4.29,0.7,8.68,6.6,1.52,1.57,1.52,13.0,10.0,5.0,28.0,0.0,3.0,0.0,2.0,0.0,9.0,9.0,13.0,23.0,4.0,8.0,4.0,10.0,8.0,5.0,16.0,5.0,2.0,0.32,0.73,0.53,0.0,0.0,0.0,27.12,23.0,22.82,4.0,0.24,0.58,0.58,1.22,1.25,1.23
4184,84740908479333,2020,Smith-Hajek,NYR,pairing,5on5,37,15372.0,182.0,0.44,0.41,0.42,95.27,7.02,6.13,22.46,2.99,53.09,40.31,6.93,7.22,7.13,106.0,26.0,32.0,164.0,10.0,4.0,1.0,20.0,3.0,43.0,52.0,96.0,122.0,22.0,59.0,108.0,108.0,16.0,37.0,108.0,19.0,5.0,3.16,2.41,1.45,5.0,4.0,1.0,170.01,132.0,135.87,20.0,1.26,0.71,0.71,7.57,7.78,7.7,130.14,9.03,8.17,31.64,4.16,73.93,56.08,8.92,8.98,8.86,134.0,49.0,56.0,239.0,8.0,7.0,1.0,30.0,2.0,54.0,82.0,126.0,175.0,28.0,71.0,119.0,123.0,22.0,30.0,148.0,27.0,8.0,4.02,3.02,1.99,2.0,3.0,3.0,231.71,183.0,179.77,13.0,1.66,1.47,1.47,9.22,9.17,9.12
8830,84808178482073,2022,Miller-Schneider,NYR,pairing,5on5,64,7831.0,420.0,0.45,0.48,0.45,57.62,5.04,3.79,13.58,1.75,30.82,23.02,4.94,5.03,4.93,58.0,20.0,41.0,119.0,7.0,2.0,0.0,12.0,2.0,28.0,27.0,51.0,71.0,8.0,19.0,41.0,80.0,13.0,35.0,56.0,19.0,3.0,1.76,2.43,0.85,1.0,4.0,2.0,118.16,78.0,77.7,19.0,0.8,0.41,0.41,5.42,5.44,5.34,71.68,6.08,4.86,17.93,2.4,37.87,27.86,5.77,6.13,5.83,67.0,30.0,34.0,131.0,5.0,7.0,0.0,9.0,2.0,32.0,42.0,62.0,92.0,9.0,21.0,45.0,57.0,14.0,13.0,69.0,24.0,4.0,2.09,2.95,1.04,5.0,0.0,0.0,133.25,97.0,98.3,8.0,1.01,1.05,1.05,6.03,6.12,6.03
11716,84768858479323,2023,Fox-Trouba,NYR,pairing,5on5,40,1628.0,328.0,0.59,0.65,0.66,21.67,1.38,1.4,5.2,0.72,12.72,9.58,1.37,1.37,1.36,19.0,12.0,6.0,37.0,2.0,1.0,0.0,4.0,0.0,8.0,16.0,17.0,29.0,3.0,6.0,5.0,13.0,2.0,2.0,27.0,4.0,0.0,0.92,0.46,0.0,2.0,0.0,0.0,36.8,31.0,31.04,1.0,0.28,0.05,0.05,1.62,1.61,1.6,11.76,0.95,0.79,2.93,0.37,6.4,4.54,0.94,0.95,0.94,12.0,4.0,4.0,20.0,2.0,1.0,0.0,5.0,0.0,3.0,5.0,10.0,14.0,1.0,2.0,1.0,9.0,2.0,2.0,13.0,2.0,1.0,0.4,0.35,0.2,1.0,1.0,0.0,20.08,16.0,16.18,1.0,0.16,0.2,0.2,0.91,0.92,0.92
2618,84793248479333,2020,Hajek-Lindgren,NYR,pairing,5on5,22,1950.0,154.0,0.42,0.44,0.44,14.0,1.28,1.02,3.1,0.4,7.79,5.41,1.23,1.26,1.21,17.0,2.0,5.0,24.0,5.0,1.0,1.0,4.0,0.0,2.0,7.0,12.0,14.0,2.0,4.0,11.0,18.0,0.0,5.0,13.0,5.0,1.0,0.32,0.69,0.28,1.0,3.0,1.0,24.06,19.0,19.02,3.0,0.21,0.28,0.28,1.22,1.2,1.2,16.81,1.79,1.27,4.13,0.62,9.29,6.9,1.73,1.81,1.75,13.0,11.0,7.0,31.0,2.0,3.0,0.0,2.0,2.0,7.0,8.0,11.0,22.0,0.0,0.0,17.0,18.0,4.0,4.0,16.0,6.0,2.0,0.4,0.78,0.61,1.0,1.0,0.0,31.4,24.0,24.52,2.0,0.27,0.7,0.7,1.36,1.35,1.34
11769,84769798479324,2023,Gustafsson-Lindgren,NYR,pairing,5on5,41,9454.0,270.0,0.46,0.49,0.51,84.85,6.39,5.3,22.08,2.89,46.77,34.56,6.12,6.59,6.32,80.0,38.0,29.0,147.0,8.0,8.0,0.0,19.0,0.0,40.0,43.0,72.0,110.0,13.0,29.0,83.0,46.0,18.0,19.0,92.0,21.0,5.0,2.58,2.55,1.26,3.0,5.0,0.0,151.61,118.0,121.03,10.0,1.09,1.44,1.44,6.04,6.21,6.05,83.18,7.53,5.6,20.52,2.75,43.8,32.78,7.3,7.33,7.11,79.0,34.0,43.0,156.0,10.0,10.0,3.0,13.0,0.0,40.0,40.0,69.0,103.0,8.0,19.0,49.0,65.0,11.0,13.0,82.0,22.0,9.0,1.97,2.63,2.94,1.0,7.0,2.0,149.61,113.0,109.02,7.0,1.16,2.75,2.75,5.95,5.81,5.73
11770,84769798479323,2023,Gustafsson-Fox,NYR,pairing,5on5,54,8717.0,335.0,0.72,0.69,0.68,108.92,9.66,7.32,27.47,3.69,58.84,43.03,9.32,9.58,9.25,104.0,46.0,65.0,215.0,8.0,12.0,2.0,22.0,0.0,56.0,52.0,96.0,142.0,10.0,20.0,67.0,49.0,9.0,22.0,113.0,25.0,12.0,3.42,3.13,3.1,5.0,2.0,1.0,208.43,150.0,147.41,12.0,1.54,2.25,2.25,8.94,8.8,8.55,49.9,3.78,3.38,12.87,1.68,27.82,20.47,3.6,3.98,3.78,46.0,24.0,26.0,96.0,2.0,5.0,0.0,7.0,0.0,28.0,28.0,44.0,68.0,9.0,20.0,73.0,51.0,13.0,19.0,57.0,9.0,4.0,1.57,1.22,0.98,1.0,1.0,0.0,101.21,70.0,73.71,12.0,0.7,0.69,0.69,3.79,3.97,3.93
1162,84793238479324,2019,Lindgren-Fox,NYR,pairing,5on5,60,40691.0,162.0,0.51,0.49,0.51,295.59,25.1,19.44,70.37,9.59,165.22,119.29,24.49,25.48,24.86,316.0,93.0,125.0,534.0,34.0,21.0,2.0,73.0,12.0,140.0,129.0,282.0,375.0,40.0,83.0,283.0,211.0,115.0,95.0,310.0,71.0,28.0,8.66,9.19,7.24,12.0,12.0,10.0,539.19,409.0,413.18,51.0,4.02,4.24,4.21,24.9,25.25,24.91,283.11,24.43,18.92,67.74,9.4,160.12,117.46,23.27,24.38,23.24,282.0,117.0,148.0,547.0,22.0,29.0,6.0,51.0,6.0,145.0,146.0,260.0,377.0,47.0,97.0,359.0,263.0,100.0,127.0,302.0,73.0,24.0,8.3,8.99,7.15,7.0,7.0,8.0,543.02,399.0,396.24,74.0,3.89,6.63,6.5,21.76,21.77,21.35
11792,84768858476979,2023,Gustafsson-Trouba,NYR,pairing,5on5,36,5020.0,261.0,0.47,0.52,0.51,49.95,3.15,2.97,12.6,1.61,28.35,21.32,3.09,3.06,3.01,48.0,22.0,29.0,99.0,2.0,3.0,0.0,10.0,0.0,23.0,32.0,46.0,68.0,5.0,10.0,35.0,37.0,7.0,14.0,61.0,6.0,3.0,1.75,0.6,0.8,2.0,0.0,0.0,96.7,70.0,68.41,7.0,0.61,0.59,0.59,3.17,3.09,3.04,48.49,3.54,3.06,12.28,1.65,26.39,20.08,3.44,3.66,3.56,45.0,22.0,24.0,91.0,1.0,4.0,0.0,5.0,1.0,24.0,32.0,44.0,66.0,7.0,12.0,22.0,28.0,5.0,7.0,54.0,11.0,2.0,1.51,1.35,0.68,1.0,0.0,0.0,92.54,67.0,67.84,4.0,0.63,0.83,0.83,3.34,3.44,3.35
10163,84774338479323,2022,Harpur-Fox,NYR,pairing,5on5,30,2370.0,247.0,0.56,0.53,0.52,23.37,2.14,1.59,5.27,0.77,12.61,9.63,2.13,2.2,2.2,22.0,10.0,9.0,41.0,4.0,3.0,1.0,3.0,0.0,11.0,11.0,18.0,28.0,0.0,0.0,8.0,18.0,4.0,5.0,23.0,6.0,3.0,0.71,0.63,0.81,2.0,0.0,2.0,41.5,32.0,32.33,2.0,0.33,0.46,0.46,2.02,2.08,2.08,21.13,1.72,1.3,5.2,0.69,11.41,8.67,1.66,1.77,1.71,19.0,10.0,8.0,37.0,1.0,3.0,0.0,5.0,0.0,4.0,16.0,18.0,28.0,2.0,4.0,11.0,19.0,5.0,6.0,22.0,6.0,1.0,0.77,0.74,0.2,1.0,0.0,0.0,37.67,29.0,29.35,2.0,0.27,0.44,0.44,1.54,1.58,1.56
11394,84793238479324,2023,Lindgren-Fox,NYR,pairing,5on5,65,54688.0,123.0,0.46,0.5,0.51,445.62,34.08,29.43,113.04,14.9,253.73,181.83,32.92,34.22,33.07,425.0,202.0,226.0,853.0,40.0,38.0,3.0,84.0,1.0,242.0,222.0,385.0,587.0,62.0,130.0,482.0,362.0,98.0,111.0,501.0,101.0,25.0,14.77,11.79,7.52,23.0,14.0,3.0,856.55,627.0,630.86,55.0,6.09,7.22,7.16,33.01,33.19,32.52,444.36,39.3,29.08,115.82,15.42,231.95,174.43,37.45,39.11,37.28,410.0,196.0,256.0,862.0,26.0,72.0,5.0,80.0,1.0,189.0,238.0,384.0,580.0,49.0,101.0,461.0,363.0,91.0,110.0,447.0,113.0,46.0,12.25,14.54,12.51,11.0,12.0,3.0,855.4,606.0,602.37,66.0,6.06,12.71,12.71,32.66,32.5,31.95
79,84716868479323,2019,Staal-Fox,NYR,pairing,5on5,40,5466.0,301.0,0.49,0.46,0.46,36.82,2.66,2.54,8.01,1.03,20.31,15.46,2.63,2.62,2.6,37.0,13.0,16.0,66.0,3.0,0.0,0.0,7.0,0.0,21.0,19.0,34.0,47.0,4.0,8.0,20.0,28.0,11.0,29.0,37.0,12.0,1.0,0.96,1.46,0.24,1.0,2.0,0.0,66.17,50.0,49.88,12.0,0.52,0.0,0.0,3.17,3.13,3.1,41.02,2.77,2.67,10.43,1.48,23.34,17.3,2.6,2.77,2.6,41.0,17.0,20.0,78.0,1.0,4.0,0.0,9.0,0.0,25.0,19.0,40.0,57.0,5.0,10.0,28.0,30.0,14.0,16.0,45.0,12.0,1.0,1.24,1.22,0.31,1.0,0.0,0.0,78.91,58.0,59.14,9.0,0.55,0.42,0.42,2.9,2.9,2.74
95,84768698476885,2019,Skjei-Trouba,NYR,pairing,5on5,58,39325.0,205.0,0.49,0.46,0.46,305.74,23.61,19.83,70.22,9.94,167.31,129.36,23.01,23.7,23.09,307.0,117.0,134.0,558.0,23.0,21.0,2.0,71.0,9.0,146.0,154.0,284.0,401.0,41.0,85.0,270.0,269.0,63.0,118.0,330.0,77.0,17.0,9.37,9.66,4.58,9.0,11.0,3.0,562.4,424.0,427.12,66.0,4.08,3.9,3.9,23.53,23.66,23.37,356.16,24.31,22.18,86.2,11.47,202.39,149.51,23.92,24.27,23.88,357.0,140.0,169.0,666.0,32.0,19.0,3.0,81.0,15.0,163.0,187.0,325.0,465.0,34.0,66.0,349.0,222.0,86.0,107.0,415.0,61.0,21.0,11.13,7.9,5.27,18.0,7.0,7.0,660.84,497.0,492.44,58.0,4.54,3.76,3.8,24.98,24.86,24.6
6084,84757478479333,2021,Hajek-Nemeth,NYR,pairing,5on5,6,2642.0,30.0,0.23,0.37,0.34,14.42,0.71,0.91,3.75,0.45,8.2,5.98,0.69,0.7,0.68,13.0,7.0,9.0,29.0,0.0,1.0,0.0,4.0,1.0,5.0,9.0,13.0,20.0,1.0,2.0,19.0,24.0,4.0,8.0,18.0,2.0,0.0,0.46,0.25,0.0,0.0,0.0,0.0,28.05,20.0,19.44,4.0,0.18,0.14,0.14,0.75,0.74,0.73,28.3,2.41,2.16,6.36,0.94,15.68,11.45,2.33,2.41,2.34,26.0,13.0,11.0,50.0,1.0,3.0,0.0,8.0,2.0,15.0,10.0,25.0,38.0,1.0,2.0,11.0,24.0,1.0,3.0,29.0,9.0,1.0,0.94,1.24,0.23,0.0,1.0,0.0,50.64,39.0,39.38,0.0,0.45,0.47,0.47,2.39,2.4,2.37
5587,84757978480878,2021,Tinordi-Lundkvist,NYR,pairing,5on5,1,649.0,3.0,0.45,0.32,0.33,3.81,0.28,0.22,0.72,0.1,1.91,1.76,0.28,0.3,0.3,5.0,0.0,1.0,6.0,1.0,0.0,0.0,1.0,0.0,2.0,1.0,4.0,4.0,0.0,0.0,4.0,6.0,1.0,2.0,4.0,1.0,0.0,0.12,0.16,0.0,1.0,0.0,0.0,6.33,5.0,5.29,0.0,0.05,0.0,0.0,0.33,0.35,0.35,7.03,0.35,0.35,1.57,0.26,3.64,3.83,0.35,0.34,0.33,4.0,6.0,3.0,13.0,0.0,0.0,0.0,1.0,0.0,4.0,5.0,4.0,10.0,0.0,0.0,5.0,2.0,2.0,4.0,9.0,1.0,0.0,0.23,0.13,0.0,0.0,0.0,0.0,12.6,10.0,9.75,2.0,0.07,0.0,0.0,0.42,0.41,0.4
1420,84716868479324,2019,Lindgren-Staal,NYR,pairing,5on5,32,2108.0,275.0,0.36,0.38,0.31,9.02,0.75,0.65,2.12,0.32,5.35,3.82,0.75,0.71,0.71,12.0,1.0,7.0,20.0,1.0,0.0,0.0,4.0,0.0,3.0,5.0,11.0,12.0,5.0,10.0,7.0,16.0,6.0,3.0,9.0,4.0,0.0,0.3,0.45,0.0,1.0,0.0,0.0,19.91,13.0,12.66,2.0,0.13,0.0,0.0,0.88,0.84,0.83,20.8,1.32,1.34,5.21,0.65,11.37,9.11,1.3,1.35,1.33,23.0,6.0,4.0,33.0,4.0,1.0,0.0,3.0,0.0,8.0,13.0,19.0,25.0,3.0,8.0,8.0,10.0,3.0,6.0,23.0,6.0,0.0,0.62,0.7,0.0,2.0,2.0,0.0,33.38,29.0,29.65,4.0,0.27,0.1,0.1,1.49,1.53,1.51
10712,84788598479323,2022,Mikkola-Fox,NYR,pairing,5on5,25,14272.0,95.0,0.43,0.46,0.46,100.87,8.29,6.92,24.78,3.57,54.15,40.29,8.02,8.46,8.18,100.0,38.0,59.0,197.0,9.0,13.0,2.0,19.0,0.0,36.0,61.0,91.0,129.0,15.0,42.0,113.0,83.0,30.0,52.0,101.0,31.0,6.0,3.16,3.53,1.6,2.0,6.0,1.0,202.79,138.0,140.46,33.0,1.44,1.94,1.94,7.79,7.99,7.9,119.27,10.82,8.09,29.55,3.94,63.74,47.87,10.5,10.69,10.37,120.0,44.0,67.0,231.0,11.0,9.0,1.0,22.0,1.0,63.0,58.0,109.0,153.0,13.0,38.0,133.0,84.0,30.0,54.0,121.0,33.0,10.0,3.71,4.05,3.06,6.0,4.0,1.0,226.19,164.0,161.99,31.0,1.68,1.55,1.55,10.95,10.77,10.62
5427,84793338480878,2021,Hajek-Lundkvist,NYR,pairing,5on5,3,805.0,17.0,0.15,0.31,0.33,2.95,0.15,0.16,0.73,0.08,1.62,1.26,0.15,0.16,0.16,3.0,1.0,1.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,3.0,0.0,0.0,4.0,6.0,0.0,2.0,4.0,0.0,0.0,0.15,0.0,0.0,1.0,0.0,0.0,5.23,4.0,4.19,2.0,0.03,0.0,0.0,0.18,0.19,0.19,6.31,0.85,0.49,1.51,0.19,2.81,2.15,0.78,0.84,0.78,6.0,2.0,3.0,11.0,0.0,1.0,0.0,3.0,0.0,2.0,2.0,6.0,8.0,2.0,4.0,2.0,6.0,4.0,4.0,5.0,0.0,3.0,0.14,0.0,0.71,0.0,0.0,0.0,10.65,8.0,7.94,2.0,0.11,0.27,0.27,0.69,0.68,0.67
434,84779508479333,2019,Hajek-Deangelo,NYR,pairing,5on5,23,6329.0,143.0,0.29,0.35,0.35,39.38,2.78,2.23,9.84,1.23,20.49,16.42,2.74,2.8,2.75,39.0,14.0,11.0,64.0,4.0,2.0,1.0,7.0,3.0,15.0,22.0,35.0,49.0,9.0,20.0,42.0,24.0,13.0,30.0,41.0,10.0,2.0,1.02,1.33,0.44,1.0,2.0,1.0,63.73,53.0,53.07,22.0,0.46,0.39,0.39,2.86,2.86,2.84,70.32,6.78,4.85,16.44,2.24,38.77,27.91,6.34,6.92,6.47,69.0,28.0,21.0,118.0,7.0,7.0,2.0,15.0,4.0,33.0,32.0,62.0,90.0,6.0,12.0,44.0,36.0,15.0,18.0,70.0,19.0,8.0,2.05,2.31,2.43,1.0,3.0,3.0,123.73,97.0,100.38,7.0,1.0,2.13,2.13,5.65,5.74,5.57
6229,84757478476885,2021,Nemeth-Trouba,NYR,pairing,5on5,49,3604.0,321.0,0.56,0.37,0.41,20.81,2.37,1.48,4.95,0.65,10.88,7.67,2.26,2.42,2.31,24.0,4.0,12.0,40.0,3.0,2.0,1.0,5.0,0.0,6.0,12.0,21.0,25.0,3.0,9.0,22.0,29.0,6.0,9.0,18.0,6.0,4.0,0.57,0.69,1.1,1.0,1.0,1.0,40.62,28.0,28.54,5.0,0.31,0.63,0.63,2.06,2.1,2.09,29.04,1.84,1.82,7.52,0.92,16.83,12.08,1.82,1.78,1.76,27.0,14.0,26.0,67.0,2.0,0.0,0.0,8.0,0.0,12.0,19.0,25.0,39.0,5.0,13.0,29.0,18.0,5.0,13.0,35.0,6.0,0.0,1.03,0.81,0.0,0.0,2.0,0.0,64.15,41.0,39.19,8.0,0.37,0.0,0.0,2.2,2.13,2.11
9541,84768858478859,2022,Mikkola-Trouba,NYR,pairing,5on5,23,2445.0,166.0,0.7,0.52,0.57,18.66,1.65,1.27,4.94,0.71,10.0,7.44,1.61,1.66,1.63,19.0,7.0,8.0,34.0,3.0,6.0,0.0,1.0,0.0,9.0,7.0,16.0,23.0,2.0,4.0,14.0,14.0,3.0,4.0,20.0,5.0,1.0,0.7,0.73,0.21,2.0,1.0,0.0,34.01,26.0,26.1,2.0,0.26,0.67,0.67,1.24,1.25,1.24,14.29,0.71,0.76,3.54,0.47,8.1,6.42,0.71,0.72,0.72,14.0,6.0,12.0,32.0,0.0,0.0,0.0,2.0,0.0,5.0,13.0,14.0,20.0,0.0,0.0,10.0,11.0,5.0,4.0,17.0,3.0,0.0,0.35,0.35,0.0,0.0,0.0,0.0,31.71,20.0,20.16,0.0,0.15,0.0,0.0,0.86,0.87,0.87
4609,84808178481708,2020,Miller-Jones,NYR,pairing,5on5,7,1219.0,59.0,0.63,0.71,0.68,12.89,0.69,0.83,3.64,0.48,7.73,5.63,0.67,0.68,0.66,11.0,8.0,8.0,27.0,1.0,1.0,0.0,2.0,2.0,6.0,7.0,10.0,18.0,1.0,2.0,7.0,8.0,2.0,4.0,16.0,3.0,0.0,0.32,0.38,0.0,1.0,0.0,0.0,25.36,19.0,18.44,3.0,0.16,0.17,0.17,0.68,0.67,0.67,6.4,0.4,0.41,1.67,0.21,3.67,2.63,0.4,0.41,0.41,7.0,2.0,2.0,11.0,1.0,0.0,0.0,2.0,1.0,1.0,4.0,6.0,8.0,0.0,0.0,4.0,6.0,0.0,2.0,8.0,1.0,0.0,0.25,0.15,0.0,1.0,0.0,0.0,12.09,9.0,9.43,0.0,0.08,0.0,0.0,0.49,0.5,0.5
4274,84740908475868,2020,Smith-Bitetto,NYR,pairing,5on5,8,2429.0,40.0,0.34,0.39,0.4,13.79,1.07,0.81,3.04,0.41,7.35,6.3,1.07,1.14,1.13,11.0,8.0,5.0,24.0,2.0,0.0,0.0,1.0,0.0,4.0,12.0,9.0,17.0,2.0,4.0,11.0,22.0,4.0,8.0,15.0,3.0,1.0,0.46,0.36,0.25,0.0,1.0,1.0,24.31,19.0,19.44,4.0,0.17,0.0,0.0,1.24,1.31,1.3,20.6,2.05,1.47,4.77,0.68,11.24,7.78,2.0,2.09,2.04,23.0,5.0,10.0,38.0,5.0,2.0,0.0,6.0,0.0,7.0,8.0,18.0,23.0,2.0,4.0,22.0,9.0,1.0,7.0,17.0,9.0,2.0,0.44,1.11,0.5,2.0,2.0,1.0,38.75,28.0,28.28,2.0,0.31,0.29,0.29,2.07,2.09,2.07
1741,84716868476869,2019,Skjei-Staal,NYR,pairing,5on5,21,993.0,208.0,0.27,0.3,0.33,6.14,0.4,0.38,1.31,0.21,3.69,3.0,0.39,0.4,0.39,6.0,3.0,1.0,10.0,0.0,0.0,0.0,2.0,0.0,1.0,6.0,6.0,9.0,0.0,0.0,2.0,7.0,2.0,4.0,6.0,3.0,0.0,0.15,0.24,0.0,0.0,0.0,0.0,10.19,9.0,9.17,3.0,0.08,0.0,0.0,0.47,0.47,0.47,12.15,1.09,0.84,2.68,0.48,7.19,5.71,1.06,1.08,1.05,10.0,8.0,5.0,23.0,1.0,1.0,0.0,1.0,1.0,6.0,8.0,9.0,17.0,1.0,2.0,1.0,3.0,2.0,1.0,13.0,4.0,1.0,0.39,0.42,0.29,0.0,1.0,0.0,22.6,18.0,17.81,0.0,0.17,0.29,0.29,0.97,0.99,0.97
1749,84768858479324,2019,Lindgren-Trouba,NYR,pairing,5on5,29,3853.0,247.0,0.51,0.54,0.52,24.07,1.47,1.41,5.63,0.77,13.75,10.97,1.44,1.5,1.46,27.0,7.0,15.0,49.0,1.0,1.0,0.0,4.0,0.0,10.0,18.0,26.0,33.0,3.0,6.0,22.0,23.0,9.0,10.0,31.0,2.0,1.0,0.92,0.25,0.31,1.0,0.0,0.0,50.21,34.0,34.69,5.0,0.29,0.31,0.31,1.45,1.48,1.47,21.42,1.43,1.44,5.46,0.73,12.74,9.2,1.37,1.39,1.34,22.0,9.0,10.0,41.0,1.0,2.0,0.0,6.0,3.0,7.0,12.0,21.0,30.0,2.0,4.0,22.0,23.0,5.0,7.0,26.0,4.0,1.0,0.68,0.49,0.26,1.0,0.0,0.0,40.21,31.0,30.36,6.0,0.29,0.43,0.43,1.29,1.28,1.27
2149,84740908476885,2019,Smith-Trouba,NYR,pairing,5on5,25,8472.0,121.0,0.39,0.46,0.47,50.84,3.39,3.34,12.54,1.77,29.01,20.95,3.3,3.31,3.22,49.0,22.0,33.0,104.0,1.0,3.0,0.0,17.0,2.0,21.0,27.0,48.0,70.0,8.0,17.0,56.0,49.0,13.0,23.0,57.0,12.0,2.0,1.42,1.34,0.63,0.0,0.0,1.0,102.84,71.0,70.04,14.0,0.69,0.6,0.62,3.46,3.38,3.32,59.82,5.42,4.07,13.7,1.88,31.78,24.16,5.31,5.4,5.29,56.0,25.0,40.0,121.0,3.0,3.0,0.0,15.0,2.0,24.0,34.0,53.0,78.0,11.0,25.0,56.0,42.0,21.0,24.0,60.0,12.0,9.0,1.59,1.51,2.32,1.0,2.0,0.0,121.32,81.0,80.93,14.0,0.84,0.6,0.6,5.67,5.65,5.61
13253,84768858480817,2023,Miller-Trouba,NYR,pairing,5on5,65,59189.0,86.0,0.49,0.48,0.48,480.16,39.83,31.27,124.51,16.31,261.51,193.58,38.46,40.09,38.71,470.0,197.0,298.0,965.0,36.0,47.0,7.0,94.0,4.0,239.0,247.0,434.0,631.0,69.0,159.0,554.0,540.0,103.0,119.0,515.0,112.0,40.0,14.87,13.76,11.2,17.0,12.0,7.0,967.1,667.0,669.66,73.0,6.52,8.83,8.69,37.66,37.91,37.29,520.72,41.69,33.55,132.39,17.41,282.86,211.11,40.64,41.57,40.54,499.0,220.0,336.0,1055.0,42.0,51.0,7.0,90.0,6.0,271.0,259.0,457.0,677.0,67.0,160.0,512.0,316.0,93.0,125.0,564.0,116.0,39.0,15.94,14.82,10.92,21.0,14.0,7.0,1045.25,719.0,713.95,66.0,6.94,10.03,10.03,38.6,38.48,38.03
