,team,season,name,team.1,position,situation,games_played,xGoalsPercentage,corsiPercentage,fenwickPercentage,iceTime,xOnGoalFor,xGoalsFor,xReboundsFor,xFreezeFor,xPlayStoppedFor,xPlayContinuedInZoneFor,xPlayContinuedOutsideZoneFor,flurryAdjustedxGoalsFor,scoreVenueAdjustedxGoalsFor,flurryScoreVenueAdjustedxGoalsFor,shotsOnGoalFor,missedShotsFor,blockedShotAttemptsFor,shotAttemptsFor,goalsFor,reboundsFor,reboundGoalsFor,freezeFor,playStoppedFor,playContinuedInZoneFor,playContinuedOutsideZoneFor,savedShotsOnGoalFor,savedUnblockedShotAttemptsFor,penaltiesFor,penalityMinutesFor,faceOffsWonFor,hitsFor,takeawaysFor,giveawaysFor,lowDangerShotsFor,mediumDangerShotsFor,highDangerShotsFor,lowDangerxGoalsFor,mediumDangerxGoalsFor,highDangerxGoalsFor,lowDangerGoalsFor,mediumDangerGoalsFor,highDangerGoalsFor,scoreAdjustedShotsAttemptsFor,unblockedShotAttemptsFor,scoreAdjustedUnblockedShotAttemptsFor,dZoneGiveawaysFor,xGoalsFromxReboundsOfShotsFor,xGoalsFromActualReboundsOfShotsFor,reboundxGoalsFor,totalShotCreditFor,scoreAdjustedTotalShotCreditFor,scoreFlurryAdjustedTotalShotCreditFor,xOnGoalAgainst,xGoalsAgainst,xReboundsAgainst,xFreezeAgainst,xPlayStoppedAgainst,xPlayContinuedInZoneAgainst,xPlayContinuedOutsideZoneAgainst,flurryAdjustedxGoalsAgainst,scoreVenueAdjustedxGoalsAgainst,flurryScoreVenueAdjustedxGoalsAgainst,shotsOnGoalAgainst,missedShotsAgainst,blockedShotAttemptsAgainst,shotAttemptsAgainst,goalsAgainst,reboundsAgainst,reboundGoalsAgainst,freezeAgainst,playStoppedAgainst,playContinuedInZoneAgainst,playContinuedOutsideZoneAgainst,savedShotsOnGoalAgainst,savedUnblockedShotAttemptsAgainst,penaltiesAgainst,penalityMinutesAgainst,faceOffsWonAgainst,hitsAgainst,takeawaysAgainst,giveawaysAgainst,lowDangerShotsAgainst,mediumDangerShotsAgainst,highDangerShotsAgainst,lowDangerxGoalsAgainst,mediumDangerxGoalsAgainst,highDangerxGoalsAgainst,lowDangerGoalsAgainst,mediumDangerGoalsAgainst,highDangerGoalsAgainst,scoreAdjustedShotsAttemptsAgainst,unblockedShotAttemptsAgainst,scoreAdjustedUnblockedShotAttemptsAgainst,dZoneGiveawaysAgainst,xGoalsFromxReboundsOfShotsAgainst,xGoalsFromActualReboundsOfShotsAgainst,reboundxGoalsAgainst,totalShotCreditAgainst,scoreAdjustedTotalShotCreditAgainst,scoreFlurryAdjustedTotalShotCreditAgainst
738,TOR,2023,TOR,TOR,Team Level,4on5,82,0.13,0.12,0.15,22337.0,64.48,6.6,3.39,10.21,2.12,20.79,42.88,6.46,6.6,6.46,66.0,20.0,8.0,94.0,5.0,2.0,0.0,3.0,0.0,17.0,59.0,61.0,81.0,13.0,27.0,184.0,94.0,57.0,43.0,62.0,15.0,9.0,1.7,2.14,2.77,3.0,1.0,1.0,94.0,86.0,86.0,39.0,0.78,0.54,0.54,6.85,6.85,6.7,364.85,46.05,31.23,79.85,12.23,218.72,115.92,43.95,46.05,43.95,354.0,150.0,176.0,680.0,50.0,34.0,4.0,78.0,3.0,202.0,137.0,304.0,454.0,16.0,35.0,218.0,43.0,28.0,45.0,354.0,92.0,58.0,8.84,10.73,26.47,6.0,13.0,31.0,680.0,504.0,504.0,4.0,8.24,8.13,8.01,46.28,46.28,44.69
737,TOR,2023,TOR,TOR,Team Level,5on5,82,0.51,0.51,0.51,245453.0,2154.1,185.64,140.61,544.27,72.56,1153.2,846.71,177.89,187.36,179.55,2055.0,888.0,1159.0,4102.0,200.0,206.0,15.0,424.0,10.0,1020.0,1083.0,1855.0,2743.0,265.0,599.0,1914.0,2118.0,528.0,671.0,2192.0,563.0,188.0,61.52,71.81,52.31,86.0,80.0,34.0,4157.85,2943.0,2976.49,375.0,29.36,39.99,39.99,175.01,176.71,172.62,2027.65,177.4,133.02,520.02,69.6,1090.09,799.87,169.72,177.31,169.66,1854.0,936.0,1162.0,3952.0,170.0,225.0,26.0,366.0,7.0,1021.0,1001.0,1684.0,2620.0,260.0,601.0,1634.0,2355.0,468.0,641.0,2117.0,468.0,205.0,59.89,58.46,59.06,81.0,59.0,30.0,3917.37,2790.0,2777.91,412.0,27.72,47.41,47.68,157.44,157.26,154.42
451,TOR,2021,TOR,TOR,Team Level,all,82,0.56,0.54,0.54,298110.0,2842.65,294.76,207.29,627.1,91.77,1563.1,1119.99,281.84,297.35,284.32,2835.0,1069.0,1187.0,5091.0,312.0,207.0,41.0,614.0,96.0,1254.0,1421.0,2523.0,3592.0,273.0,592.0,2636.0,1746.0,736.0,867.0,2690.0,922.0,292.0,81.98,112.88,99.9,104.0,105.0,103.0,5163.9,3904.0,3948.96,519.0,45.89,48.5,48.5,292.15,294.61,286.85,2445.06,230.21,171.2,554.83,79.24,1351.96,993.56,221.11,229.63,220.54,2512.0,869.0,972.0,4353.0,252.0,172.0,39.0,633.0,89.0,999.0,1236.0,2260.0,3129.0,283.0,604.0,2152.0,2326.0,668.0,910.0,2463.0,711.0,207.0,74.05,85.82,70.34,77.0,98.0,77.0,4301.29,3381.0,3350.32,587.0,37.78,40.09,40.09,227.89,226.96,222.48
450,TOR,2021,TOR,TOR,Team Level,other,82,0.54,0.5,0.5,10626.0,150.91,35.25,11.11,25.64,4.84,75.49,51.66,32.91,35.25,32.91,146.0,58.0,48.0,252.0,34.0,14.0,6.0,18.0,2.0,68.0,68.0,112.0,170.0,4.0,8.0,128.0,25.0,27.0,33.0,88.0,65.0,51.0,4.03,8.28,22.94,5.0,5.0,24.0,252.0,204.0,204.0,21.0,3.22,4.4,4.4,34.08,34.08,32.5,148.79,29.92,11.17,26.44,4.76,80.9,50.8,27.47,29.92,27.47,156.0,48.0,53.0,257.0,26.0,13.0,1.0,31.0,3.0,74.0,57.0,130.0,178.0,5.0,10.0,111.0,56.0,25.0,27.0,109.0,57.0,38.0,4.62,7.04,18.27,4.0,8.0,14.0,257.0,204.0,204.0,16.0,3.25,4.51,4.61,28.57,28.57,27.23
292,TOR,2020,TOR,TOR,Team Level,5on5,56,0.56,0.51,0.52,167708,1377.79,133.75,98.73,305.52,43.17,757.99,545.83,129.5,135.88,131.6,1365,520,571,2456,133,93,20,341,40,587,691,1232,1752,149,324,1193,930,328,633,1276,499,110,42.44,60.27,31.03,44,58,31,2514.25,1885,1925.82,366,20.58,21.46,21.73,132.6,134.57,132.06,1254.17,106.84,86.13,288.72,40.88,717.01,525.42,104.16,105.49,102.88,1243,522,595,2360,95,59,10,308,37,569,697,1148,1670,149,330,1144,1468,309,568,1283,406,76,38.59,48.22,20.03,30,47,18,2306.91,1765,1734.6,408,17.82,11.12,11.12,113.54,112.32,110.5
454,TOR,2021,TOR,TOR,Team Level,5on4,82,0.89,0.88,0.86,20310.0,364.05,45.37,35.05,72.6,11.94,226.54,113.51,42.05,45.37,42.05,360.0,145.0,123.0,628.0,58.0,39.0,11.0,76.0,23.0,184.0,125.0,302.0,447.0,19.0,38.0,228.0,29.0,13.0,44.0,345.0,102.0,58.0,7.16,11.79,26.42,9.0,19.0,30.0,628.0,505.0,505.0,4.0,9.06,9.55,9.55,44.88,44.88,42.52,58.18,5.52,3.07,8.83,2.01,18.49,41.09,5.26,5.52,5.26,69.0,10.0,10.0,89.0,3.0,4.0,0.0,7.0,0.0,16.0,49.0,66.0,76.0,13.0,26.0,169.0,51.0,47.0,48.0,57.0,15.0,7.0,1.81,1.87,1.85,2.0,0.0,1.0,89.0,79.0,79.0,44.0,0.71,1.07,1.07,5.15,5.15,5.04
453,TOR,2021,TOR,TOR,Team Level,4on5,82,0.27,0.22,0.24,21979.0,93.98,10.69,5.21,12.6,2.85,28.84,63.83,10.53,10.69,10.53,96.0,28.0,12.0,136.0,12.0,3.0,0.0,8.0,2.0,18.0,81.0,84.0,112.0,4.0,8.0,186.0,71.0,67.0,57.0,75.0,34.0,15.0,2.32,4.21,4.15,3.0,4.0,5.0,136.0,124.0,124.0,54.0,1.19,0.78,0.78,11.1,11.1,10.99,279.29,29.29,25.75,60.8,9.1,171.69,90.36,28.18,29.29,28.18,294.0,93.0,87.0,474.0,41.0,32.0,6.0,71.0,14.0,110.0,119.0,253.0,346.0,12.0,24.0,226.0,44.0,26.0,71.0,271.0,87.0,29.0,6.36,10.82,12.11,9.0,16.0,16.0,474.0,387.0,387.0,7.0,6.64,6.55,6.55,29.38,29.38,28.69
735,TOR,2023,TOR,TOR,Team Level,other,82,0.57,0.52,0.54,10389.0,206.42,45.4,15.57,37.26,6.91,107.02,62.84,36.21,45.4,36.21,186.0,89.0,79.0,354.0,41.0,29.0,2.0,32.0,3.0,100.0,70.0,145.0,234.0,6.0,12.0,150.0,34.0,22.0,30.0,137.0,65.0,73.0,5.6,8.11,31.68,12.0,9.0,20.0,354.0,275.0,275.0,11.0,4.61,10.91,10.91,39.11,39.11,33.36,169.53,33.92,11.92,31.7,5.89,89.49,57.09,31.4,33.92,31.4,162.0,68.0,92.0,322.0,34.0,14.0,1.0,34.0,0.0,84.0,64.0,128.0,196.0,8.0,16.0,130.0,41.0,35.0,29.0,125.0,59.0,46.0,5.32,7.06,21.54,7.0,9.0,18.0,322.0,230.0,230.0,14.0,3.46,5.06,5.06,32.31,32.31,30.51
290,TOR,2020,TOR,TOR,Team Level,other,56,0.58,0.53,0.55,7383,99.98,25.79,7.83,14.54,3.26,55.18,31.4,23.85,25.79,23.85,92,46,41,179,23,8,4,10,4,45,48,69,115,1,2,83,18,16,28,55,50,33,2.56,6.3,16.93,3,9,11,179.0,138,138.0,17,2.35,3.49,3.49,24.66,24.66,24.09,81.31,18.63,5.88,13.33,2.58,45.58,25.99,17.83,18.63,17.83,80,32,44,156,22,4,3,19,3,33,31,58,90,3,6,65,27,9,13,56,31,25,2.28,3.79,12.56,3,7,12,156.0,112,112.0,6,1.71,1.88,1.88,18.46,18.46,18.04
739,TOR,2023,TOR,TOR,Team Level,5on4,82,0.88,0.85,0.83,21575.0,377.51,53.74,34.07,82.35,12.42,213.52,110.91,49.34,53.74,49.34,364.0,143.0,189.0,696.0,52.0,42.0,4.0,62.0,1.0,205.0,145.0,312.0,455.0,16.0,35.0,230.0,30.0,18.0,43.0,324.0,113.0,70.0,9.09,13.51,31.14,10.0,16.0,26.0,696.0,507.0,507.0,3.0,8.86,11.44,11.44,51.15,51.15,48.12,79.21,7.31,4.11,12.36,2.49,25.32,52.42,7.2,7.31,7.2,76.0,28.0,17.0,121.0,7.0,6.0,0.0,7.0,0.0,23.0,61.0,69.0,97.0,12.0,29.0,177.0,88.0,61.0,33.0,73.0,18.0,13.0,1.99,2.09,3.24,1.0,4.0,2.0,121.0,104.0,104.0,27.0,0.92,1.35,1.35,6.89,6.89,6.84
291,TOR,2020,TOR,TOR,Team Level,all,56,0.56,0.52,0.52,203170,1758.21,194.61,131.59,371.39,55.63,970.37,686.4,186.17,196.74,188.26,1751,659,713,3123,186,129,30,407,53,758,877,1565,2224,157,340,1526,1003,388,748,1585,635,190,51.18,76.91,66.52,51,71,64,3181.25,2410,2450.82,431,29.31,32.32,32.59,191.32,193.29,188.71,1561.93,151.97,111.58,344.61,50.7,890.02,640.12,147.48,150.62,146.19,1559,630,708,2897,148,81,20,368,49,707,836,1411,2041,167,368,1455,1565,357,660,1550,509,130,46.61,60.61,44.76,37,65,46,2843.91,2189,2158.6,455,24.46,18.61,18.61,157.81,156.59,153.57
736,TOR,2023,TOR,TOR,Team Level,all,82,0.52,0.51,0.51,299754.0,2802.52,291.39,193.64,674.1,94.01,1494.54,1063.33,269.9,293.1,271.56,2671.0,1140.0,1435.0,5246.0,298.0,279.0,21.0,521.0,14.0,1342.0,1357.0,2373.0,3513.0,300.0,673.0,2478.0,2276.0,625.0,787.0,2715.0,756.0,340.0,77.92,95.57,117.9,111.0,106.0,81.0,5301.85,3811.0,3844.49,428.0,43.62,62.88,62.88,272.13,273.83,260.8,2641.23,264.68,180.27,643.93,90.21,1423.62,1025.29,252.27,264.58,252.21,2446.0,1182.0,1447.0,5075.0,261.0,279.0,31.0,485.0,10.0,1330.0,1263.0,2185.0,3367.0,296.0,681.0,2159.0,2527.0,592.0,748.0,2669.0,637.0,322.0,76.03,78.34,110.3,95.0,85.0,81.0,5040.38,3628.0,3615.91,457.0,40.34,61.95,62.09,242.92,242.75,236.45
452,TOR,2021,TOR,TOR,Team Level,5on5,82,0.55,0.54,0.53,245195.0,2233.71,203.45,155.93,516.26,72.14,1232.24,890.99,196.36,206.04,198.83,2233.0,838.0,1004.0,4075.0,208.0,151.0,24.0,512.0,69.0,984.0,1147.0,2025.0,2863.0,246.0,538.0,2094.0,1621.0,629.0,733.0,2182.0,721.0,168.0,68.46,88.6,46.39,87.0,77.0,44.0,4147.9,3071.0,3115.96,440.0,32.43,33.79,33.79,202.09,204.55,200.83,1958.81,165.47,131.21,458.77,63.37,1080.88,811.31,160.19,164.89,159.63,1993.0,718.0,822.0,3533.0,182.0,123.0,32.0,524.0,72.0,799.0,1011.0,1811.0,2529.0,253.0,544.0,1646.0,2175.0,570.0,764.0,2026.0,552.0,133.0,61.26,66.09,38.12,62.0,74.0,46.0,3481.29,2711.0,2680.32,520.0,27.19,27.96,27.87,164.79,163.86,161.52
294,TOR,2020,TOR,TOR,Team Level,5on4,56,0.86,0.86,0.84,14090,227.58,28.69,22.0,44.47,7.58,140.37,72.89,26.52,28.69,26.52,229,87,94,410,27,26,5,50,8,113,92,202,289,5,10,145,20,12,48,212,65,39,4.73,7.66,16.29,3,3,21,410.0,316,316.0,9,5.68,6.75,6.75,27.61,27.61,26.14,44.14,4.57,2.44,6.05,1.34,14.04,30.54,4.51,4.57,4.51,51,8,7,66,6,3,2,4,1,9,36,45,53,6,12,117,46,26,37,36,18,5,1.12,2.18,1.28,0,4,2,66.0,59,59.0,36,0.55,0.73,0.73,4.4,4.4,4.38
124,TOR,2019,TOR,TOR,Team Level,5on4,70,0.83,0.84,0.82,17123.0,260.13,31.82,23.05,53.28,8.85,162.98,84.3,30.22,31.82,30.22,261.0,107.0,99.0,467.0,39.0,22.0,6.0,53.0,16.0,124.0,114.0,222.0,329.0,4.0,8.0,184.0,14.0,21.0,51.0,257.0,81.0,30.0,7.11,9.12,15.58,6.0,12.0,21.0,467.0,368.0,368.0,6.0,5.92,6.02,5.81,31.67,31.67,30.67,56.68,6.58,2.91,7.62,1.59,17.3,39.33,6.48,6.58,6.48,65.0,15.0,6.0,86.0,7.0,3.0,0.0,8.0,0.0,13.0,49.0,58.0,73.0,6.0,12.0,140.0,61.0,61.0,32.0,57.0,12.0,11.0,1.72,1.52,3.35,2.0,1.0,4.0,86.0,80.0,80.0,29.0,0.69,0.95,0.95,5.99,5.99,5.97
123,TOR,2019,TOR,TOR,Team Level,4on5,70,0.2,0.16,0.18,18816.0,58.65,6.83,3.22,7.87,1.7,18.1,40.3,6.56,6.83,6.56,61.0,17.0,16.0,94.0,4.0,4.0,0.0,8.0,1.0,12.0,49.0,57.0,74.0,6.0,10.0,148.0,48.0,64.0,43.0,49.0,17.0,12.0,1.47,2.14,3.22,0.0,1.0,3.0,94.0,78.0,78.0,43.0,0.74,0.94,0.94,6.63,6.63,6.54,252.89,26.72,22.92,54.23,7.94,157.38,81.92,25.05,26.72,25.05,267.0,100.0,113.0,480.0,37.0,19.0,7.0,61.0,11.0,131.0,108.0,230.0,330.0,9.0,18.0,199.0,39.0,18.0,54.0,287.0,49.0,31.0,6.92,5.54,14.25,10.0,6.0,21.0,480.0,367.0,367.0,4.0,5.94,5.02,5.02,26.72,26.72,25.93
293,TOR,2020,TOR,TOR,Team Level,4on5,56,0.23,0.2,0.22,13989,52.87,6.38,3.04,6.85,1.61,16.85,36.27,6.3,6.38,6.3,65,6,7,78,3,2,1,6,1,13,46,62,68,2,4,105,35,32,39,42,21,8,1.44,2.68,2.26,1,1,1,78.0,71,71.0,39,0.69,0.61,0.61,6.45,6.45,6.42,182.31,21.92,17.13,36.52,5.9,113.38,58.16,20.97,21.92,20.97,185,68,62,315,25,15,5,37,8,96,72,160,228,9,20,129,24,13,42,175,54,24,4.62,6.42,10.89,4,7,14,315.0,253,253.0,5,4.38,4.88,4.88,21.42,21.42,20.65
122,TOR,2019,TOR,TOR,Team Level,5on5,70,0.51,0.52,0.51,211190.0,1834.72,150.65,120.1,436.2,59.7,1031.7,762.73,145.7,152.45,147.35,1839.0,752.0,863.0,3454.0,161.0,130.0,25.0,399.0,64.0,829.0,1008.0,1678.0,2430.0,193.0,405.0,1612.0,1109.0,452.0,699.0,2002.0,470.0,119.0,57.98,57.82,34.85,66.0,63.0,32.0,3481.26,2591.0,2611.01,406.0,24.76,27.47,28.92,144.65,146.0,143.65,1738.61,144.72,114.26,411.33,57.68,967.34,729.42,141.18,145.05,141.47,1777.0,687.0,727.0,3191.0,162.0,110.0,32.0,399.0,67.0,774.0,952.0,1615.0,2302.0,192.0,411.0,1438.0,1637.0,498.0,659.0,1871.0,484.0,109.0,54.54,59.96,30.22,64.0,67.0,31.0,3187.29,2464.0,2464.02,424.0,23.58,22.71,22.94,142.96,143.01,141.21
121,TOR,2019,TOR,TOR,Team Level,all,70,0.52,0.52,0.51,255712.0,2277.8,215.96,155.28,519.77,74.3,1278.49,929.99,208.55,217.76,210.2,2294.0,920.0,1032.0,4246.0,236.0,165.0,33.0,473.0,91.0,1022.0,1227.0,2058.0,2978.0,214.0,446.0,2057.0,1188.0,555.0,821.0,2409.0,610.0,195.0,70.27,74.72,70.97,80.0,82.0,74.0,4273.26,3214.0,3234.01,470.0,33.94,36.58,38.19,209.16,210.51,206.72,2179.9,202.97,149.18,496.64,71.69,1213.35,899.48,194.0,203.31,194.29,2234.0,861.0,896.0,3991.0,222.0,142.0,40.0,489.0,92.0,987.0,1163.0,2012.0,2873.0,216.0,462.0,1867.0,1767.0,601.0,768.0,2335.0,578.0,182.0,67.77,70.87,64.35,79.0,77.0,66.0,3987.29,3095.0,3095.02,471.0,32.82,31.68,31.71,200.3,200.35,194.59
120,TOR,2019,TOR,TOR,Team Level,other,70,0.52,0.5,0.49,8583.0,124.31,26.66,8.92,22.42,4.05,65.73,42.68,26.06,26.66,26.06,133.0,44.0,54.0,231.0,32.0,9.0,2.0,13.0,10.0,57.0,56.0,101.0,145.0,11.0,23.0,113.0,17.0,18.0,28.0,101.0,42.0,34.0,3.71,5.64,17.31,8.0,6.0,18.0,231.0,177.0,177.0,15.0,2.52,2.15,2.52,26.21,26.21,25.85,131.72,24.96,9.09,23.46,4.49,71.32,48.82,21.29,24.96,21.29,125.0,59.0,50.0,234.0,16.0,10.0,1.0,21.0,14.0,69.0,54.0,109.0,168.0,9.0,21.0,90.0,30.0,24.0,23.0,120.0,33.0,31.0,4.58,3.85,16.53,3.0,3.0,10.0,234.0,184.0,184.0,14.0,2.62,3.0,2.81,24.63,24.63,21.48
544,TOR,2022,TOR,TOR,Team Level,5on4,82,0.87,0.86,0.85,23649.0,394.37,50.86,38.63,80.34,13.2,232.11,118.87,47.22,50.86,47.22,389.0,145.0,154.0,688.0,61.0,59.0,11.0,61.0,8.0,194.0,151.0,328.0,473.0,16.0,32.0,223.0,26.0,13.0,72.0,352.0,113.0,69.0,9.48,13.59,27.8,8.0,19.0,34.0,688.0,534.0,534.0,7.0,9.91,12.48,12.48,48.3,48.3,46.11,72.25,7.6,3.75,10.32,2.25,21.73,49.34,7.3,7.6,7.3,76.0,19.0,13.0,108.0,8.0,6.0,1.0,5.0,0.0,20.0,56.0,68.0,87.0,6.0,12.0,164.0,76.0,55.0,30.0,64.0,21.0,10.0,1.88,2.92,2.8,2.0,5.0,1.0,108.0,95.0,95.0,27.0,0.87,1.3,1.3,7.16,7.16,7.08
543,TOR,2022,TOR,TOR,Team Level,4on5,82,0.21,0.16,0.19,24439.0,77.59,10.27,4.69,11.44,2.67,25.41,50.51,9.9,10.27,9.9,87.0,18.0,11.0,116.0,7.0,6.0,1.0,6.0,3.0,22.0,61.0,80.0,98.0,6.0,10.0,166.0,85.0,64.0,47.0,63.0,23.0,19.0,1.93,2.99,5.35,1.0,3.0,3.0,116.0,105.0,105.0,43.0,1.07,1.6,1.6,9.73,9.73,9.6,331.6,38.59,29.93,70.06,11.02,204.72,105.68,36.35,38.59,36.35,339.0,121.0,148.0,608.0,39.0,32.0,8.0,62.0,15.0,174.0,138.0,300.0,421.0,13.0,26.0,252.0,49.0,18.0,97.0,317.0,97.0,46.0,7.53,11.71,19.35,7.0,9.0,23.0,608.0,460.0,460.0,9.0,7.66,6.5,6.03,40.22,40.22,38.52
542,TOR,2022,TOR,TOR,Team Level,5on5,82,0.54,0.51,0.52,239933.0,2085.9,197.97,145.19,489.66,68.22,1139.29,815.67,190.28,200.9,193.14,2053.0,803.0,915.0,3771.0,184.0,180.0,28.0,455.0,73.0,893.0,1071.0,1869.0,2672.0,267.0,587.0,1844.0,1642.0,608.0,697.0,2002.0,658.0,196.0,60.91,82.81,54.23,74.0,70.0,40.0,3846.52,2856.0,2901.68,413.0,30.19,38.24,38.26,189.9,192.58,188.74,1914.2,167.83,128.85,461.66,63.47,1039.49,776.68,161.17,166.68,160.06,1859.0,779.0,969.0,3607.0,143.0,184.0,25.0,410.0,70.0,896.0,935.0,1716.0,2495.0,267.0,570.0,1552.0,2372.0,537.0,662.0,1918.0,557.0,163.0,54.22,68.4,45.21,65.0,50.0,28.0,3541.38,2638.0,2602.68,423.0,26.76,36.85,37.32,157.28,156.29,153.23
540,TOR,2022,TOR,TOR,Team Level,other,82,0.49,0.4,0.41,9872.0,105.58,27.88,7.36,17.75,3.41,51.96,35.66,25.79,27.88,25.79,100.0,44.0,48.0,192.0,26.0,10.0,3.0,16.0,7.0,34.0,51.0,74.0,118.0,3.0,6.0,112.0,22.0,24.0,27.0,66.0,34.0,44.0,2.51,4.23,21.15,1.0,5.0,20.0,192.0,144.0,144.0,15.0,2.1,4.0,4.08,25.91,25.91,24.89,151.5,28.96,11.84,28.9,5.49,83.07,49.74,26.2,28.96,26.2,146.0,62.0,84.0,292.0,30.0,21.0,3.0,25.0,5.0,70.0,57.0,116.0,178.0,8.0,14.0,102.0,40.0,24.0,17.0,112.0,54.0,42.0,4.34,6.74,17.88,9.0,7.0,14.0,292.0,208.0,208.0,4.0,3.31,6.66,6.66,25.62,25.62,24.66
541,TOR,2022,TOR,TOR,Team Level,all,82,0.54,0.51,0.52,297893.0,2663.45,286.98,195.85,599.19,87.51,1448.78,1020.7,273.18,289.92,276.05,2629.0,1010.0,1128.0,4767.0,278.0,255.0,43.0,538.0,91.0,1143.0,1334.0,2351.0,3361.0,292.0,635.0,2345.0,1775.0,709.0,843.0,2483.0,828.0,328.0,74.83,103.62,108.52,84.0,97.0,97.0,4842.52,3639.0,3684.69,478.0,43.26,56.32,56.41,273.84,276.52,269.34,2469.57,243.0,174.38,570.93,82.23,1349.02,981.45,231.04,241.84,229.93,2420.0,981.0,1214.0,4615.0,220.0,243.0,37.0,502.0,90.0,1160.0,1186.0,2200.0,3181.0,294.0,622.0,2070.0,2537.0,634.0,806.0,2411.0,729.0,261.0,67.97,89.77,85.24,83.0,71.0,66.0,4549.38,3401.0,3365.68,463.0,38.59,51.31,51.31,230.27,229.29,223.48
666,VAN,2023,VAN,VAN,Team Level,all,82,0.52,0.51,0.51,297885.0,2512.36,259.89,179.21,603.77,85.4,1374.69,974.03,248.62,262.62,251.28,2328.0,1149.0,1360.0,4837.0,279.0,272.0,43.0,475.0,11.0,1191.0,1249.0,2049.0,3198.0,295.0,656.0,2336.0,2176.0,499.0,492.0,2533.0,620.0,324.0,72.72,77.35,109.83,104.0,84.0,91.0,4928.7,3477.0,3535.84,320.0,39.99,57.97,57.97,241.92,244.83,239.0,2442.16,241.63,168.2,590.31,83.84,1318.85,953.18,228.4,240.15,226.98,2344.0,1012.0,1250.0,4606.0,221.0,278.0,28.0,463.0,7.0,1205.0,1182.0,2123.0,3135.0,300.0,663.0,2145.0,1883.0,389.0,535.0,2473.0,587.0,296.0,67.45,74.02,100.16,78.0,70.0,73.0,4532.96,3356.0,3316.56,286.0,37.97,60.85,60.95,218.65,217.19,210.56
669,VAN,2023,VAN,VAN,Team Level,5on4,82,0.89,0.89,0.87,24439.0,401.13,51.61,39.22,86.19,14.07,237.81,124.1,48.97,51.61,48.97,380.0,173.0,200.0,753.0,54.0,60.0,8.0,63.0,1.0,219.0,156.0,326.0,499.0,8.0,22.0,241.0,37.0,17.0,36.0,371.0,117.0,65.0,10.56,14.19,26.87,15.0,10.0,29.0,753.0,553.0,553.0,5.0,10.18,10.41,10.2,51.6,51.6,49.44,63.38,6.09,3.21,9.6,2.12,20.77,44.21,5.83,6.09,5.83,69.0,17.0,6.0,92.0,7.0,3.0,1.0,4.0,0.0,20.0,52.0,62.0,79.0,12.0,33.0,158.0,66.0,40.0,24.0,59.0,20.0,7.0,1.43,2.49,2.17,2.0,2.0,3.0,92.0,86.0,86.0,22.0,0.73,0.49,0.49,6.33,6.33,6.08
220,VAN,2020,VAN,VAN,Team Level,other,56,0.43,0.5,0.47,9048,84.18,18.04,5.73,15.51,2.64,47.63,28.44,16.87,18.04,16.87,76,42,41,159,17,4,0,13,9,40,35,59,101,1,2,86,15,13,9,70,25,23,2.56,3.07,12.4,3,4,10,159.0,118,118.0,6,1.65,1.64,1.64,18.05,18.05,17.26,94.61,23.73,6.64,15.33,3.17,52.65,30.48,23.02,23.73,23.02,84,48,26,158,20,7,2,12,4,53,36,64,112,4,8,59,12,5,13,61,40,31,2.3,4.59,16.84,2,3,15,158.0,132,132.0,10,1.95,1.53,1.53,24.14,24.14,23.57
80,VAN,2019,VAN,VAN,Team Level,other,69,0.49,0.52,0.53,11923.0,127.39,23.87,9.36,22.39,4.27,74.01,45.1,22.76,23.87,22.76,135.0,44.0,54.0,233.0,25.0,10.0,3.0,31.0,5.0,58.0,50.0,110.0,154.0,3.0,6.0,117.0,26.0,19.0,20.0,103.0,45.0,31.0,3.75,5.22,14.9,3.0,5.0,17.0,233.0,179.0,179.0,11.0,2.71,3.3,3.3,23.28,23.28,22.62,112.17,24.64,7.74,19.32,3.59,57.42,39.69,22.87,24.64,22.87,125.0,33.0,59.0,217.0,25.0,9.0,4.0,25.0,3.0,43.0,53.0,100.0,133.0,8.0,16.0,95.0,24.0,24.0,23.0,86.0,42.0,30.0,3.59,4.69,16.36,1.0,9.0,15.0,217.0,158.0,158.0,12.0,2.21,3.21,3.33,23.14,23.14,22.73
81,VAN,2019,VAN,VAN,Team Level,all,69,0.49,0.49,0.49,251353.0,2102.21,197.42,143.8,476.41,69.87,1202.06,870.5,189.64,197.72,189.9,2135.0,826.0,950.0,3911.0,223.0,165.0,34.0,494.0,78.0,871.0,1130.0,1912.0,2738.0,242.0,527.0,2147.0,1351.0,471.0,569.0,2237.0,522.0,202.0,62.79,63.2,71.44,72.0,75.0,76.0,3918.71,2961.0,2963.04,357.0,31.91,39.2,39.28,189.98,190.1,186.08,2170.26,204.65,151.58,487.8,71.47,1215.07,887.01,197.25,205.44,198.0,2268.0,758.0,1083.0,4109.0,211.0,172.0,33.0,548.0,88.0,885.0,1122.0,2057.0,2815.0,259.0,559.0,1827.0,1324.0,418.0,558.0,2253.0,575.0,198.0,66.77,69.48,68.39,68.0,73.0,70.0,4107.78,3026.0,3033.38,333.0,33.46,36.87,36.8,200.73,201.65,198.07
